lat,lon,State
26.1,-98.6,Texas
26.1,-97.6,Texas
26.1,-81.6,Florida
26.1,-80.6,Florida
27.1,-99.6,Texas
27.1,-98.6,Texas
27.1,-97.6,Texas
27.1,-82.6,Florida
27.1,-81.6,Florida
27.1,-80.6,Florida
28.1,-99.6,Texas
28.1,-98.6,Texas
28.1,-97.6,Texas
28.1,-82.6,Florida
28.1,-81.6,Florida
28.1,-80.6,Florida
29.1,-103.6,Texas
29.1,-102.6,Texas
29.1,-101.6,Texas
29.1,-100.6,Texas
29.1,-99.6,Texas
29.1,-98.6,Texas
29.1,-97.6,Texas
29.1,-96.6,Texas
29.1,-95.6,Texas
29.1,-90.6,California
29.1,-82.6,Florida
29.1,-81.6,Florida
30.1,-104.6,Texas
30.1,-103.6,Texas
30.1,-102.6,Texas
30.1,-101.6,Texas
30.1,-100.6,Texas
30.1,-99.6,Texas
30.1,-98.6,Texas
30.1,-97.6,Texas
30.1,-96.6,Texas
30.1,-95.6,Texas
30.1,-94.6,Texas
30.1,-93.6,Louisiana
30.1,-92.6,Louisiana
30.1,-91.6,Louisiana
30.1,-90.6,Louisiana
30.1,-83.6,Florida
30.1,-82.6,Florida
30.1,-81.6,Florida
31.1,-105.6,Texas
31.1,-104.6,Texas
31.1,-103.6,Texas
31.1,-102.6,Texas
31.1,-101.6,Texas
31.1,-100.6,Texas
31.1,-99.6,Texas
31.1,-98.6,Texas
31.1,-97.6,Texas
31.1,-96.6,Texas
31.1,-95.6,Texas
31.1,-94.6,Texas
31.1,-93.6,Texas
31.1,-92.6,Louisiana
31.1,-91.6,Mississippi
31.1,-90.6,Mississippi
31.1,-89.6,Mississippi
31.1,-88.6,Mississippi
31.1,-87.6,Alabama
31.1,-86.6,Alabama
31.1,-85.6,Alabama
31.1,-84.6,Georgia
31.1,-83.6,Georgia
31.1,-82.6,Georgia
31.1,-81.6,Georgia
32.1,-112.6,Arizona
32.1,-111.6,Arizona
32.1,-110.6,Arizona
32.1,-109.6,Arizona
32.1,-108.6,New Mexico
32.1,-107.6,New Mexico
32.1,-106.6,New Mexico
32.1,-105.6,New Mexico
32.1,-104.6,New Mexico
32.1,-103.6,New Mexico
32.1,-102.6,Texas
32.1,-101.6,Texas
32.1,-100.6,Texas
32.1,-99.6,Texas
32.1,-98.6,Texas
32.1,-97.6,Texas
32.1,-96.6,Texas
32.1,-95.6,Texas
32.1,-94.6,Texas
32.1,-93.6,Louisiana
32.1,-92.6,Louisiana
32.1,-91.6,Louisiana
32.1,-90.6,Mississippi
32.1,-89.6,Mississippi
32.1,-88.6,Mississippi
32.1,-87.6,Alabama
32.1,-86.6,Alabama
32.1,-85.6,Alabama
32.1,-84.6,Georgia
32.1,-83.6,Georgia
32.1,-82.6,Georgia
32.1,-81.6,Georgia
33.1,-117.6,California
33.1,-116.6,California
33.1,-115.6,California
33.1,-114.6,Arizona
33.1,-113.6,Arizona
33.1,-112.6,Arizona
33.1,-111.6,Arizona
33.1,-110.6,Arizona
33.1,-109.6,Arizona
33.1,-108.6,New Mexico
33.1,-107.6,New Mexico
33.1,-106.6,New Mexico
33.1,-105.6,New Mexico
33.1,-104.6,New Mexico
33.1,-103.6,New Mexico
33.1,-102.6,Texas
33.1,-101.6,Texas
33.1,-100.6,Texas
33.1,-99.6,Texas
33.1,-98.6,Texas
33.1,-97.6,Texas
33.1,-96.6,Texas
33.1,-95.6,Texas
33.1,-94.6,Texas
33.1,-93.6,Arkansas
33.1,-92.6,Arkansas
33.1,-91.6,Arkansas
33.1,-90.6,Mississippi
33.1,-89.6,Mississippi
33.1,-88.6,Mississippi
33.1,-87.6,Alabama
33.1,-86.6,Alabama
33.1,-85.6,Alabama
33.1,-84.6,Georgia
33.1,-83.6,Georgia
33.1,-82.6,Georgia
33.1,-81.6,South Carolina
33.1,-80.6,South Carolina
33.1,-79.6,South Carolina
34.1,-118.6,California
34.1,-117.6,California
34.1,-116.6,California
34.1,-115.6,California
34.1,-114.6,California
34.1,-113.6,Arizona
34.1,-112.6,Arizona
34.1,-111.6,Arizona
34.1,-110.6,Arizona
34.1,-109.6,Arizona
34.1,-108.6,New Mexico
34.1,-107.6,New Mexico
34.1,-106.6,New Mexico
34.1,-105.6,New Mexico
34.1,-104.6,New Mexico
34.1,-103.6,New Mexico
34.1,-102.6,Texas
34.1,-101.6,Texas
34.1,-100.6,Texas
34.1,-99.6,Texas
34.1,-98.6,Texas
34.1,-97.6,Oklahoma
34.1,-96.6,Oklahoma
34.1,-95.6,Oklahoma
34.1,-94.6,Oklahoma
34.1,-93.6,Arkansas
34.1,-92.6,Arkansas
34.1,-91.6,Arkansas
34.1,-90.6,Mississippi
34.1,-89.6,Mississippi
34.1,-88.6,Mississippi
34.1,-87.6,Alabama
34.1,-86.6,Alabama
34.1,-85.6,Alabama
34.1,-84.6,Georgia
34.1,-83.6,Georgia
34.1,-82.6,South Carolina
34.1,-81.6,South Carolina
34.1,-80.6,South Carolina
34.1,-79.6,South Carolina
34.1,-78.6,North Carolina
34.1,-77.6,North Carolina
35.1,-120.6,California
35.1,-119.6,California
35.1,-118.6,California
35.1,-117.6,California
35.1,-116.6,California
35.1,-115.6,California
35.1,-114.6,Arizona
35.1,-113.6,Arizona
35.1,-112.6,Arizona
35.1,-111.6,Arizona
35.1,-110.6,Arizona
35.1,-109.6,Arizona
35.1,-108.6,New Mexico
35.1,-107.6,New Mexico
35.1,-106.6,New Mexico
35.1,-105.6,New Mexico
35.1,-104.6,New Mexico
35.1,-103.6,New Mexico
35.1,-102.6,Texas
35.1,-101.6,Texas
35.1,-100.6,Texas
35.1,-99.6,Oklahoma
35.1,-98.6,Oklahoma
35.1,-97.6,Oklahoma
35.1,-96.6,Oklahoma
35.1,-95.6,Oklahoma
35.1,-94.6,Oklahoma
35.1,-93.6,Arkansas
35.1,-92.6,Arkansas
35.1,-91.6,Arkansas
35.1,-90.6,Arkansas
35.1,-89.6,Tennessee
35.1,-88.6,Tennessee
35.1,-87.6,Tennessee
35.1,-86.6,Tennessee
35.1,-85.6,Tennessee
35.1,-84.6,Tennessee
35.1,-83.6,North Carolina
35.1,-82.6,South Carolina
35.1,-81.6,South Carolina
35.1,-80.6,North Carolina
35.1,-79.6,North Carolina
35.1,-78.6,North Carolina
35.1,-77.6,North Carolina
35.1,-76.6,North Carolina
36.1,-121.6,California
36.1,-120.6,California
36.1,-119.6,California
36.1,-118.6,California
36.1,-117.6,California
36.1,-116.6,California
36.1,-115.6,Nevada
36.1,-114.6,Arizona
36.1,-113.6,Arizona
36.1,-112.6,Arizona
36.1,-111.6,Arizona
36.1,-110.6,Arizona
36.1,-109.6,Arizona
36.1,-108.6,New Mexico
36.1,-107.6,New Mexico
36.1,-106.6,New Mexico
36.1,-105.6,New Mexico
36.1,-104.6,New Mexico
36.1,-103.6,New Mexico
36.1,-102.6,Texas
36.1,-101.6,Texas
36.1,-100.6,Texas
36.1,-99.6,Oklahoma
36.1,-98.6,Oklahoma
36.1,-97.6,Oklahoma
36.1,-96.6,Oklahoma
36.1,-95.6,Oklahoma
36.1,-94.6,Oklahoma
36.1,-93.6,Arkansas
36.1,-92.6,Arkansas
36.1,-91.6,Arkansas
36.1,-90.6,Arkansas
36.1,-89.6,Tennessee
36.1,-88.6,Tennessee
36.1,-87.6,Tennessee
36.1,-86.6,Tennessee
36.1,-85.6,Tennessee
36.1,-84.6,Tennessee
36.1,-83.6,Tennessee
36.1,-82.6,Tennessee
36.1,-81.6,North Carolina
36.1,-80.6,North Carolina
36.1,-79.6,North Carolina
36.1,-78.6,North Carolina
36.1,-77.6,North Carolina
36.1,-76.6,North Carolina
37.1,-121.6,California
37.1,-120.6,California
37.1,-119.6,California
37.1,-118.6,California
37.1,-117.6,California
37.1,-116.6,Nevada
37.1,-115.6,Nevada
37.1,-114.6,Nevada
37.1,-113.6,Utah
37.1,-112.6,Utah
37.1,-111.6,Utah
37.1,-110.6,Utah
37.1,-109.6,Utah
37.1,-108.6,Colorado
37.1,-107.6,Colorado
37.1,-106.6,Colorado
37.1,-105.6,Colorado
37.1,-104.6,Colorado
37.1,-103.6,Colorado
37.1,-102.6,Colorado
37.1,-101.6,Kansas
37.1,-100.6,Kansas
37.1,-99.6,Kansas
37.1,-98.6,Kansas
37.1,-97.6,Kansas
37.1,-96.6,Kansas
37.1,-95.6,Kansas
37.1,-94.6,Missouri
37.1,-93.6,Missouri
37.1,-92.6,Missouri
37.1,-91.6,Missouri
37.1,-90.6,Missouri
37.1,-89.6,Missouri
37.1,-88.6,Kentucky
37.1,-87.6,Kentucky
37.1,-86.6,Kentucky
37.1,-85.6,Kentucky
37.1,-84.6,Kentucky
37.1,-83.6,Kentucky
37.1,-82.6,Virginia
37.1,-81.6,Virginia
37.1,-80.6,Virginia
37.1,-79.6,Virginia
37.1,-78.6,Virginia
37.1,-77.6,Virginia
37.1,-76.6,Virginia
38.1,-122.6,California
38.1,-121.6,California
38.1,-120.6,California
38.1,-119.6,California
38.1,-118.6,Nevada
38.1,-117.6,Nevada
38.1,-116.6,Nevada
38.1,-115.6,Nevada
38.1,-114.6,Nevada
38.1,-113.6,Utah
38.1,-112.6,Utah
38.1,-111.6,Utah
38.1,-110.6,Utah
38.1,-109.6,Utah
38.1,-108.6,Colorado
38.1,-107.6,Colorado
38.1,-106.6,Colorado
38.1,-105.6,Colorado
38.1,-104.6,Colorado
38.1,-103.6,Colorado
38.1,-102.6,Colorado
38.1,-101.6,Kansas
38.1,-100.6,Kansas
38.1,-99.6,Kansas
38.1,-98.6,Kansas
38.1,-97.6,Kansas
38.1,-96.6,Kansas
38.1,-95.6,Kansas
38.1,-94.6,Missouri
38.1,-93.6,Missouri
38.1,-92.6,Missouri
38.1,-91.6,Missouri
38.1,-90.6,Missouri
38.1,-89.6,Illinois
38.1,-88.6,Illinois
38.1,-87.6,Indiana
38.1,-86.6,Indiana
38.1,-85.6,Kentucky
38.1,-84.6,Kentucky
38.1,-83.6,Kentucky
38.1,-82.6,Kentucky
38.1,-81.6,West Virginia
38.1,-80.6,West Virginia
38.1,-79.6,Virginia
38.1,-78.6,Virginia
38.1,-77.6,Virginia
38.1,-76.6,Virginia
38.1,-75.6,Maryland
39.1,-123.6,California
39.1,-122.6,California
39.1,-121.6,California
39.1,-120.6,California
39.1,-119.6,Nevada
39.1,-118.6,Nevada
39.1,-117.6,Nevada
39.1,-116.6,Nevada
39.1,-115.6,Nevada
39.1,-114.6,Nevada
39.1,-113.6,Utah
39.1,-112.6,Utah
39.1,-111.6,Utah
39.1,-110.6,Utah
39.1,-109.6,Utah
39.1,-108.6,Colorado
39.1,-107.6,Colorado
39.1,-106.6,Colorado
39.1,-105.6,Colorado
39.1,-104.6,Colorado
39.1,-103.6,Colorado
39.1,-102.6,Colorado
39.1,-101.6,Kansas
39.1,-100.6,Kansas
39.1,-99.6,Kansas
39.1,-98.6,Kansas
39.1,-97.6,Kansas
39.1,-96.6,Kansas
39.1,-95.6,Kansas
39.1,-94.6,Missouri
39.1,-93.6,Missouri
39.1,-92.6,Missouri
39.1,-91.6,Missouri
39.1,-90.6,Illinois
39.1,-89.6,Illinois
39.1,-88.6,Illinois
39.1,-87.6,Indiana
39.1,-86.6,Indiana
39.1,-85.6,Indiana
39.1,-84.6,Ohio
39.1,-83.6,Ohio
39.1,-82.6,Ohio
39.1,-81.6,West Virginia
39.1,-80.6,West Virginia
39.1,-79.6,West Virginia
39.1,-78.6,West Virginia
39.1,-77.6,Virginia
39.1,-76.6,Maryland
39.1,-75.6,Delaware
40.1,-124.6,California
40.1,-123.6,California
40.1,-122.6,California
40.1,-121.6,California
40.1,-120.6,California
40.1,-119.6,Nevada
40.1,-118.6,Nevada
40.1,-117.6,Nevada
40.1,-116.6,Nevada
40.1,-115.6,Nevada
40.1,-114.6,Nevada
40.1,-113.6,Utah
40.1,-112.6,Utah
40.1,-111.6,Utah
40.1,-110.6,Utah
40.1,-109.6,Utah
40.1,-108.6,Colorado
40.1,-107.6,Colorado
40.1,-106.6,Colorado
40.1,-105.6,Colorado
40.1,-104.6,Colorado
40.1,-103.6,Colorado
40.1,-102.6,Colorado
40.1,-101.6,Nebraska
40.1,-100.6,Nebraska
40.1,-99.6,Nebraska
40.1,-98.6,Nebraska
40.1,-97.6,Nebraska
40.1,-96.6,Nebraska
40.1,-95.6,Nebraska
40.1,-94.6,Missouri
40.1,-93.6,Missouri
40.1,-92.6,Missouri
40.1,-91.6,Missouri
40.1,-90.6,Illinois
40.1,-89.6,Illinois
40.1,-88.6,Illinois
40.1,-87.6,Illinois
40.1,-86.6,Indiana
40.1,-85.6,Indiana
40.1,-84.6,Ohio
40.1,-83.6,Ohio
40.1,-82.6,Ohio
40.1,-81.6,Ohio
40.1,-80.6,West Virginia
40.1,-79.6,Pennsylvania
40.1,-78.6,Pennsylvania
40.1,-77.6,Pennsylvania
40.1,-76.6,Pennsylvania
40.1,-75.6,Pennsylvania
40.1,-74.6,New Jersey
41.1,-124.6,California
41.1,-123.6,California
41.1,-122.6,California
41.1,-121.6,California
41.1,-120.6,California
41.1,-119.6,Nevada
41.1,-118.6,Nevada
41.1,-117.6,Nevada
41.1,-116.6,Nevada
41.1,-115.6,Nevada
41.1,-114.6,Nevada
41.1,-113.6,Utah
41.1,-112.6,Utah
41.1,-111.6,Utah
41.1,-110.6,Wyoming
41.1,-109.6,Wyoming
41.1,-108.6,Wyoming
41.1,-107.6,Wyoming
41.1,-106.6,Wyoming
41.1,-105.6,Wyoming
41.1,-104.6,Wyoming
41.1,-103.6,Nebraska
41.1,-102.6,Nebraska
41.1,-101.6,Nebraska
41.1,-100.6,Nebraska
41.1,-99.6,Nebraska
41.1,-98.6,Nebraska
41.1,-97.6,Nebraska
41.1,-96.6,Nebraska
41.1,-95.6,Iowa
41.1,-94.6,Iowa
41.1,-93.6,Iowa
41.1,-92.6,Iowa
41.1,-91.6,Iowa
41.1,-90.6,Illinois
41.1,-89.6,Illinois
41.1,-88.6,Illinois
41.1,-87.6,Illinois
41.1,-86.6,Indiana
41.1,-85.6,Indiana
41.1,-84.6,Ohio
41.1,-83.6,Ohio
41.1,-82.6,Ohio
41.1,-81.6,Ohio
41.1,-80.6,Ohio
41.1,-79.6,Pennsylvania
41.1,-78.6,Pennsylvania
41.1,-77.6,Pennsylvania
41.1,-76.6,Pennsylvania
41.1,-75.6,Pennsylvania
41.1,-74.6,New Jersey
41.1,-73.6,Connecticut
41.1,-72.6,New York
42.1,-124.6,Oregon
42.1,-123.6,Oregon
42.1,-122.6,Oregon
42.1,-121.6,Oregon
42.1,-120.6,Oregon
42.1,-119.6,Oregon
42.1,-118.6,Oregon
42.1,-117.6,Oregon
42.1,-116.6,Idaho
42.1,-115.6,Idaho
42.1,-114.6,Idaho
42.1,-113.6,Idaho
42.1,-112.6,Idaho
42.1,-111.6,Idaho
42.1,-110.6,Wyoming
42.1,-109.6,Wyoming
42.1,-108.6,Wyoming
42.1,-107.6,Wyoming
42.1,-106.6,Wyoming
42.1,-105.6,Wyoming
42.1,-104.6,Wyoming
42.1,-103.6,Nebraska
42.1,-102.6,Nebraska
42.1,-101.6,Nebraska
42.1,-100.6,Nebraska
42.1,-99.6,Nebraska
42.1,-98.6,Nebraska
42.1,-97.6,Nebraska
42.1,-96.6,Nebraska
42.1,-95.6,Iowa
42.1,-94.6,Iowa
42.1,-93.6,Iowa
42.1,-92.6,Iowa
42.1,-91.6,Iowa
42.1,-90.6,Iowa
42.1,-89.6,Illinois
42.1,-88.6,Illinois
42.1,-87.6,Illinois
42.1,-86.6,Michigan
42.1,-85.6,Michigan
42.1,-84.6,Michigan
42.1,-83.6,Michigan
42.1,-80.6,Pennsylvania
42.1,-79.6,New York
42.1,-78.6,New York
42.1,-77.6,New York
42.1,-76.6,New York
42.1,-75.6,New York
42.1,-74.6,New York
42.1,-73.6,New York
42.1,-72.6,Massachusetts
42.1,-71.6,Massachusetts
42.1,-70.6,Massachusetts
43.1,-124.6,Oregon
43.1,-123.6,Oregon
43.1,-122.6,Oregon
43.1,-121.6,Oregon
43.1,-120.6,Oregon
43.1,-119.6,Oregon
43.1,-118.6,Oregon
43.1,-117.6,Oregon
43.1,-116.6,Idaho
